epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,3578.83,0.7745,1.94889,0.78961,1.30652,0,0.961,0.95057,0.98374,0.95684,0.961,0.95057,0.98374,0.91173,0.2773,0.38942,0.27367,0.8156,0,0.000860225,0.000860225,0.000860225
59,3643.27,0.78087,1.95314,0.78047,1.29966,0,0.97497,0.98667,0.98741,0.97755,0.97497,0.98667,0.98741,0.94005,0.24904,0.34601,0.20723,0.7887,0,0.000855826,0.000855826,0.000855826
60,3705.95,0.77974,1.93548,0.77878,1.30164,0,0.98679,0.98667,0.9879,0.95966,0.98679,0.98667,0.9879,0.91476,0.29458,0.38236,0.22206,0.80038,0,0.000851426,0.000851426,0.000851426
61,3767.57,0.78652,1.95932,0.78223,1.3176,0,0.98777,0.98667,0.98545,0.9681,0.98777,0.98667,0.98545,0.91893,0.2768,0.41549,0.22137,0.80139,0,0.000847026,0.000847026,0.000847026
62,3831.13,0.76628,1.92859,0.76231,1.2949,0,0.96491,0.98667,0.9848,0.9576,0.96491,0.98667,0.9848,0.91525,0.30048,0.38056,0.24467,0.80366,0,0.000842627,0.000842627,0.000842627
63,3894.61,0.78988,1.94161,0.79025,1.30899,0,0.96158,0.97639,0.98188,0.96346,0.96158,0.97639,0.98188,0.90704,0.26608,0.39383,0.26837,0.79589,0,0.000838227,0.000838227,0.000838227
64,3957.83,0.77896,1.9522,0.77048,1.30178,0,0.97479,0.98357,0.98364,0.96256,0.97479,0.98357,0.98364,0.92949,0.27524,0.38574,0.22055,0.79771,0,0.000833828,0.000833828,0.000833828
65,4018.86,0.74557,1.90488,0.74818,1.27786,0,0.98739,0.98667,0.98594,0.96369,0.98739,0.98667,0.98594,0.92099,0.27104,0.35288,0.21262,0.79939,0,0.000829428,0.000829428,0.000829428
66,4079.69,0.74557,1.9222,0.73563,1.27775,0,0.97925,0.98667,0.98604,0.94907,0.97925,0.98667,0.98604,0.93931,0.32974,0.37772,0.23346,0.80726,0,0.000825029,0.000825029,0.000825029
67,4142.36,0.73532,1.85544,0.73197,1.26395,0,0.97671,0.98667,0.98683,0.96831,0.97671,0.98667,0.98683,0.93592,0.2664,0.38629,0.20414,0.7885,0,0.000820629,0.000820629,0.000820629
68,4203.38,0.76274,1.89069,0.75061,1.29033,0,0.98718,0.98667,0.98342,0.96686,0.98718,0.98667,0.98342,0.9148,0.25983,0.39132,0.21678,0.80438,0,0.000816229,0.000816229,0.000816229
69,4264.81,0.74622,1.88344,0.73197,1.27968,0,0.98309,0.98667,0.98653,0.96994,0.98309,0.98667,0.98653,0.92355,0.24917,0.38609,0.22779,0.79447,0,0.00081183,0.00081183,0.00081183
70,4325.03,0.74799,1.85798,0.7251,1.28131,0,0.98282,0.98667,0.98413,0.95637,0.98282,0.98667,0.98413,0.92842,0.28616,0.34991,0.21914,0.80267,0,0.00080743,0.00080743,0.00080743
71,4385.27,0.74515,1.87474,0.74839,1.27239,0,0.98388,0.98667,0.98851,0.98123,0.98388,0.98667,0.98851,0.93633,0.23056,0.34392,0.20157,0.79262,0,0.000803031,0.000803031,0.000803031
72,4445.46,0.7263,1.85095,0.73359,1.26668,0,0.97719,0.98667,0.98576,0.96847,0.97719,0.98667,0.98576,0.93027,0.23022,0.34499,0.20455,0.78604,0,0.000798631,0.000798631,0.000798631
